SKU,Product Name,Brand,Category,Subcategory,Description,Key Features,Price (GHS),Price (USD),Condition,Stock Status,Image Path,Date Added
GAM-ACC-0073,Meetion Gaming Keyboard,Meetion,Gaming,Accessories,"""Elevate your gaming experience with the Meetion Gaming Keyboard. Designed for serious gamers who demand precision, performance, and reliability.""",• Responsive controls • Premium build quality • Ergonomic design • Universal compatibility • Enhanced gaming experience,780,62.4,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Meetion Gaming Keyboard.png,2025-09-04
GAM-ACC-0074,Meetion Gaming Mouse Pad,Meetion,Gaming,Accessories,"""Elevate your gaming experience with the Meetion Gaming Mouse Pad. Designed for serious gamers who demand precision, performance, and reliability.""",• Responsive controls • Premium build quality • Ergonomic design • Universal compatibility • Enhanced gaming experience,780,62.4,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Meetion Gaming Mouse Pad.png,2025-09-04
GAM-ACC-0075,Meetion Gaming Mouse,Meetion,Gaming,Accessories,"""Elevate your gaming experience with the Meetion Gaming Mouse. Designed for serious gamers who demand precision, performance, and reliability.""",• Responsive controls • Premium build quality • Ergonomic design • Universal compatibility • Enhanced gaming experience,780,62.4,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Meetion Gaming Mouse.png,2025-09-04
COM-LAP-0076,Meetion Gaming Stereo Headset HPOIO,Meetion,Computing,Laptops,The Meetion Gaming Stereo Headset HPOIO delivers exceptional computing performance with modern features and reliable build quality. Perfect for both professional work and everyday computing tasks.,• High-performance processor • Ample RAM and storage • Modern connectivity options • Energy efficient design • Comprehensive warranty,19500,1560.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Meetion Gaming Stereo Headset HPOIO.png,2025-09-04
DIS-TEL-0077,Mi TV Stick,Generic,Displays,Televisions,"""Enhance your visual experience with the Mi TV Stick. Featuring crisp, clear display technology for work and entertainment.""",• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,5000,400.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Mi TV Stick.png,2025-09-04
WEA-SMA-0078,Modio Smart Watch MARIO,Modio,Wearables,Smart Watches,Stay connected and track your lifestyle with the Modio Smart Watch MARIO. Modern wearable technology for the active user.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,1170,93.6,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Modio Smart Watch MARIO.png,2025-09-04
SEC-DET-0079,Nigachi Counterfeit Money Detector,Nigachi,Security,Detection Equipment,The Nigachi Counterfeit Money Detector from Nigachi offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,2250,180.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Nigachi Counterfeit Money Detector.png,2025-09-04
GAM-CON-0080,Nintendo Switch,Nintendo,Gaming,Consoles,"""Elevate your gaming experience with the Nintendo Switch. Designed for serious gamers who demand precision, performance, and reliability.""",• Responsive controls • Premium build quality • Ergonomic design • Universal compatibility • Enhanced gaming experience,6000,480.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Nintendo Switch.png,2025-09-04
MOB-SMA-0081,Nokia 105 Dual Sim,Nokia,Mobile,Smartphones,Experience cutting-edge mobile technology with the Nokia 105 Dual Sim. Featuring advanced capabilities and sleek design for the modern user.,• Advanced camera system • Long-lasting battery • Fast charging capability • Durable construction • Latest operating system,1750,140.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Nokia 105 Dual Sim.png,2025-09-04
MOB-SMA-0082,Nokia C1 2nd Edition,Nokia,Mobile,Smartphones,Experience cutting-edge mobile technology with the Nokia C1 2nd Edition. Featuring advanced capabilities and sleek design for the modern user.,• Advanced camera system • Long-lasting battery • Fast charging capability • Durable construction • Latest operating system,1750,140.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Nokia C1 2nd Edition.png,2025-09-04
MOB-SMA-0083,Nokia T10,Nokia,Mobile,Smartphones,Experience cutting-edge mobile technology with the Nokia T10. Featuring advanced capabilities and sleek design for the modern user.,• Advanced camera system • Long-lasting battery • Fast charging capability • Durable construction • Latest operating system,1750,140.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Nokia T10.png,2025-09-04
ELE-OTH-0084,Onyx studio 7,Onyx,Electronics,Other,The Onyx studio 7 from Onyx offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,500,40.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Onyx studio 7.png,2025-09-04
OFF-SCA-0085,Pegasus Handheld Scanner,Pegasus,Office,Scanners,Boost your productivity with the Pegasus Handheld Scanner. Professional-grade equipment designed for efficient office operations.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,1000,80.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Pegasus Handheld Scanner.png,2025-09-04
PER-HAI-0086,Philips Hair Clipper,Philips,Personal Care,Hair Clippers,The Philips Hair Clipper from Philips offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,400,32.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Philips Hair Clipper.png,2025-09-04
OFF-PRI-0087,POStech Thermal Receipt Printer,POStech,Office,Printers,Boost your productivity with the POStech Thermal Receipt Printer. Professional-grade equipment designed for efficient office operations.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,2600,208.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/POStech Thermal Receipt Printer.png,2025-09-04
ELE-OTH-0088,Professional Universal Stand,Generic,Electronics,Other,The Professional Universal Stand from Professional offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,500,40.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Professional Universal Stand.png,2025-09-04
PHO-LIG-0089,PROMAGE Light&portable,PROMAGE,Photography,Lighting,Capture life's moments with the PROMAGE Light&portable. Professional photography equipment for stunning results.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,650,52.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/PROMAGE Light&portable.png,2025-09-04
ACC-USB-0090,Promate 11-in-1 Aluminum Deskhub,Promate,Accessories,USB Hubs,The Promate 11-in-1 Aluminum Deskhub from Promate offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,487,38.96,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Promate 11-in-1 Aluminum Deskhub.png,2025-09-04
STO-USB-0091,Promate 7 USB 3.0 Ports exHub-7,Promate,Storage,USB Drives,Secure and expand your digital storage with the Promate 7 USB 3.0 Ports exHub-7. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,149,11.92,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Promate 7 USB 3.0 Ports exHub-7.png,2025-09-04
AUD-WIR-0092,Promate Car Wireless FM Modulator,Promate,Audio/Video,Wireless Audio,Immerse yourself in superior sound quality with the Promate Car Wireless FM Modulator. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,845,67.6,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Promate Car Wireless FM Modulator.png,2025-09-04
STO-USB-0093,Promate Compact Smart charging power bank with dual USB port 1,Promate,Storage,USB Drives,Secure and expand your digital storage with the Promate Compact Smart charging power bank with dual USB port 1. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,149,11.92,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Promate Compact Smart charging power bank with dual USB port 1.png,2025-09-04
STO-USB-0094,Promate Compact Smart charging power bank with dual USB port 2,Promate,Storage,USB Drives,Secure and expand your digital storage with the Promate Compact Smart charging power bank with dual USB port 2. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,149,11.92,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Promate Compact Smart charging power bank with dual USB port 2.png,2025-09-04
STO-USB-0095,Promate Compact Smart charging power bank with dual USB port 3,Promate,Storage,USB Drives,Secure and expand your digital storage with the Promate Compact Smart charging power bank with dual USB port 3. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,149,11.92,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Promate Compact Smart charging power bank with dual USB port 3.png,2025-09-04
AUD-HEA-0096,Promate Deep Bass Laboca Headphone,Promate,Audio/Video,Headphones,Immerse yourself in superior sound quality with the Promate Deep Bass Laboca Headphone. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,780,62.4,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Promate Deep Bass Laboca Headphone.png,2025-09-04
ACC-CAB-0097,Promate HDMI To VGA Adapter Kit,Promate,Accessories,Cables,The Promate HDMI To VGA Adapter Kit from Promate offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,227,18.16,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Promate HDMI To VGA Adapter Kit.png,2025-09-04
PHO-TRI-0098,Promate Professional Light Weight Tripod,Promate,Photography,Tripods,Capture life's moments with the Promate Professional Light Weight Tripod. Professional photography equipment for stunning results.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,650,52.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Promate Professional Light Weight Tripod.png,2025-09-04
AUD-EAR-0099,Promate TWS Earbuds (Free Pods-2),Promate,Audio/Video,Earphones,Immerse yourself in superior sound quality with the Promate TWS Earbuds (Free Pods-2). Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,650,52.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Promate TWS Earbuds (Free Pods-2).png,2025-09-04
AUD-MIC-0100,Promate Universal Dynamic Vocal Microphone,Promate,Audio/Video,Microphones,Immerse yourself in superior sound quality with the Promate Universal Dynamic Vocal Microphone. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,487,38.96,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Promate Universal Dynamic Vocal Microphone.png,2025-09-04
AUD-SPE-0101,Promate Wireless Speaker,Promate,Audio/Video,Speakers,Immerse yourself in superior sound quality with the Promate Wireless Speaker. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,1235,98.8,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Promate Wireless Speaker.png,2025-09-04
GAM-CON-0102,PS5 Console,Sony,Gaming,Consoles,"""Elevate your gaming experience with the PS5 Console. Designed for serious gamers who demand precision, performance, and reliability.""",• Responsive controls • Premium build quality • Ergonomic design • Universal compatibility • Enhanced gaming experience,10000,800.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/PS5 Console.png,2025-09-04
MOB-SMA-0103,Redmi A2+,Mi,Mobile,Smartphones,Experience cutting-edge mobile technology with the Redmi A2+. Featuring advanced capabilities and sleek design for the modern user.,• Advanced camera system • Long-lasting battery • Fast charging capability • Durable construction • Latest operating system,2750,220.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Redmi A2+.png,2025-09-04
MOB-SMA-0104,Samsung Galaxy A03,Samsung,Mobile,Smartphones,Experience cutting-edge mobile technology with the Samsung Galaxy A03. Featuring advanced capabilities and sleek design for the modern user.,• Advanced camera system • Long-lasting battery • Fast charging capability • Durable construction • Latest operating system,7500,600.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Samsung Galaxy A03.png,2025-09-04
MOB-SMA-0105,Samsung Galaxy F04,Samsung,Mobile,Smartphones,Experience cutting-edge mobile technology with the Samsung Galaxy F04. Featuring advanced capabilities and sleek design for the modern user.,• Advanced camera system • Long-lasting battery • Fast charging capability • Durable construction • Latest operating system,7500,600.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Samsung Galaxy F04.png,2025-09-04
STO-USB-0106,SANDISK Dual Drive 16GB USB-Android,SanDisk,Storage,USB Drives,Secure and expand your digital storage with the SANDISK Dual Drive 16GB USB-Android. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,103,8.24,New,In Stock,/home/hostname/Program/Shopdydy.com/product/SANDISK Dual Drive 16GB USB-Android.png,2025-09-04
STO-MEM-0107,SanDisk Ultra Card 32GB,SanDisk,Storage,Memory Cards,Secure and expand your digital storage with the SanDisk Ultra Card 32GB. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,270,21.6,New,In Stock,/home/hostname/Program/Shopdydy.com/product/SanDisk Ultra Card 32GB.png,2025-09-04
ACC-CAB-0108,SATA Cable Blue,Generic,Accessories,Cables,The SATA Cable Blue from SATA offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/SATA Cable Blue.png,2025-09-04
STO-HAR-0109,Seagate Expansion Hard Drive 1TB,Seagate,Storage,Hard Drives,Secure and expand your digital storage with the Seagate Expansion Hard Drive 1TB. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,845,67.6,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Seagate Expansion Hard Drive 1TB.png,2025-09-04
GAM-ACC-0110,Silicone Gaming Pad Cover,Generic,Gaming,Accessories,"""Elevate your gaming experience with the Silicone Gaming Pad Cover. Designed for serious gamers who demand precision, performance, and reliability.""",• Responsive controls • Premium build quality • Ergonomic design • Universal compatibility • Enhanced gaming experience,780,62.4,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Silicone Gaming Pad Cover.png,2025-09-04
GAM-CON-0111,Sony Dualsense PS5 Controller,Sony,Gaming,Consoles,"""Elevate your gaming experience with the Sony Dualsense PS5 Controller. Designed for serious gamers who demand precision, performance, and reliability.""",• Responsive controls • Premium build quality • Ergonomic design • Universal compatibility • Enhanced gaming experience,10000,800.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Sony Dualsense PS5 Controller.png,2025-09-04
GAM-CON-0112,Sony DualShock PS4 controller,Sony,Gaming,Controllers,"""Elevate your gaming experience with the Sony DualShock PS4 controller. Designed for serious gamers who demand precision, performance, and reliability.""",• Responsive controls • Premium build quality • Ergonomic design • Universal compatibility • Enhanced gaming experience,800,64.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Sony DualShock PS4 controller.png,2025-09-04
WEA-SMA-0113,T100 Smart Plus Watch,Generic,Wearables,Smart Watches,Stay connected and track your lifestyle with the T100 Smart Plus Watch. Modern wearable technology for the active user.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,1170,93.6,New,In Stock,/home/hostname/Program/Shopdydy.com/product/T100 Smart Plus Watch.png,2025-09-04
AUD-WIR-0114,TL-MR3420 3G 4G LTE Wireless,TP-Link,Audio/Video,Wireless Audio,Immerse yourself in superior sound quality with the TL-MR3420 3G 4G LTE Wireless. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,845,67.6,New,In Stock,/home/hostname/Program/Shopdydy.com/product/TL-MR3420 3G 4G LTE Wireless.png,2025-09-04
STO-HAR-0115,Toshiba Canvio Basic Hard Drive 1TB,Toshiba,Storage,Hard Drives,Secure and expand your digital storage with the Toshiba Canvio Basic Hard Drive 1TB. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,676,54.08,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Toshiba Canvio Basic Hard Drive 1TB.png,2025-09-04
STO-HAR-0116,TOSHIBA External HDD 1TB Plug and paly,Toshiba,Storage,Hard Drives,Secure and expand your digital storage with the TOSHIBA External HDD 1TB Plug and paly. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,845,67.6,New,In Stock,/home/hostname/Program/Shopdydy.com/product/TOSHIBA External HDD 1TB Plug and paly.png,2025-09-04
NET-WIF-0117,TP-Link 4G LTE Mobile Wifi M7000,TP-Link,Networking,WiFi Devices,"""Stay connected with the TP-Link 4G LTE Mobile Wifi M7000. Featuring fast, reliable networking capabilities for seamless internet connectivity.""",• High-speed connectivity • Easy setup and configuration • Reliable performance • Security features • Multiple device support,1000,80.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/TP-Link 4G LTE Mobile Wifi M7000.png,2025-09-04
NET-ROU-0118,TP-Link AC1900 WiFi Router Archer C80,TP-Link,Networking,Routers,"""Stay connected with the TP-Link AC1900 WiFi Router Archer C80. Featuring fast, reliable networking capabilities for seamless internet connectivity.""",• High-speed connectivity • Easy setup and configuration • Reliable performance • Security features • Multiple device support,1400,112.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/TP-Link AC1900 WiFi Router Archer C80.png,2025-09-04
STO-HAR-0119,Transcend Portable Hard Drive 2TB,Transcend,Storage,Hard Drives,Secure and expand your digital storage with the Transcend Portable Hard Drive 2TB. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,1000,80.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Transcend Portable Hard Drive 2TB.png,2025-09-04
STO-HAR-0120,Transcend Portable Hard Drive 4TB,Transcend,Storage,Hard Drives,Secure and expand your digital storage with the Transcend Portable Hard Drive 4TB. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,1000,80.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Transcend Portable Hard Drive 4TB.png,2025-09-04
AUD-EAR-0121,True wireless stereo earbuds,Generic,Audio/Video,Earphones,Immerse yourself in superior sound quality with the True wireless stereo earbuds. Engineered to deliver crystal-clear audio and exceptional performance.,• Superior sound quality • Comfortable design • Wireless connectivity • Long battery life • Noise cancellation,650,52.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/True wireless stereo earbuds.png,2025-09-04
ACC-ADA-0122,Type-C Multi-Function Lan Adapter 3Port,Generic,Accessories,Adapters,The Type-C Multi-Function Lan Adapter 3Port from Type-C offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,175,14.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Type-C Multi-Function Lan Adapter 3Port.png,2025-09-04
STO-USB-0123,TYPE-C MULTI-FUNCTION LAN Adapter 3ports USB,Generic,Storage,USB Drives,Secure and expand your digital storage with the TYPE-C MULTI-FUNCTION LAN Adapter 3ports USB. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/TYPE-C MULTI-FUNCTION LAN Adapter 3ports USB.png,2025-09-04
STO-USB-0124,Type-C to USB Hub,Generic,Storage,USB Drives,Secure and expand your digital storage with the Type-C to USB Hub. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Type-C to USB Hub.png,2025-09-04
STO-SOL-0125,TYPE-C USB3.0 TO SATA CABLE HDD SSD,Generic,Storage,Solid State Drives,Secure and expand your digital storage with the TYPE-C USB3.0 TO SATA CABLE HDD SSD. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,950,76.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/TYPE-C USB3.0 TO SATA CABLE HDD SSD.png,2025-09-04
STO-USB-0126,TYPE-C-USB3.0 HUB,Generic,Storage,USB Drives,Secure and expand your digital storage with the TYPE-C-USB3.0 HUB. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/TYPE-C-USB3.0 HUB.png,2025-09-04
STO-USB-0127,TYPE-C-USB3.0 HUB_MAC,Generic,Storage,USB Drives,Secure and expand your digital storage with the TYPE-C-USB3.0 HUB_MAC. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/TYPE-C-USB3.0 HUB_MAC.png,2025-09-04
STO-USB-0128,USB 3.0 To VGA,Generic,Storage,USB Drives,Secure and expand your digital storage with the USB 3.0 To VGA. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/USB 3.0 To VGA.png,2025-09-04
STO-USB-0129,USB Handheld Scanner,Generic,Storage,USB Drives,Secure and expand your digital storage with the USB Handheld Scanner. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/USB Handheld Scanner.png,2025-09-04
STO-USB-0130,USB-HDMI Converter-Full HD1080p,Generic,Storage,USB Drives,Secure and expand your digital storage with the USB-HDMI Converter-Full HD1080p. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/USB-HDMI Converter-Full HD1080p.png,2025-09-04
STO-USB-0131,USB3.0-VGA ADAPTER,Generic,Storage,USB Drives,Secure and expand your digital storage with the USB3.0-VGA ADAPTER. Offering reliable data storage with fast access speeds.,• Fast data transfer speeds • Reliable data protection • Compact design • Universal compatibility • Plug and play operation,115,9.2,New,In Stock,/home/hostname/Program/Shopdydy.com/product/USB3.0-VGA ADAPTER.png,2025-09-04
GAM-ACC-0132,Vertux Streamer-4 Gaming Microphone,Vertux,Gaming,Accessories,"""Elevate your gaming experience with the Vertux Streamer-4 Gaming Microphone. Designed for serious gamers who demand precision, performance, and reliability.""",• Responsive controls • Premium build quality • Ergonomic design • Universal compatibility • Enhanced gaming experience,780,62.4,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Vertux Streamer-4 Gaming Microphone.png,2025-09-04
ELE-OTH-0133,Wall Cabinet,Generic,Electronics,Other,The Wall Cabinet from Wall offers premium quality and reliable performance for all your technology needs.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,500,40.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Wall Cabinet.png,2025-09-04
WEA-SMA-0134,Z59 Ultra Watch,Generic,Wearables,Smart Watches,Stay connected and track your lifestyle with the Z59 Ultra Watch. Modern wearable technology for the active user.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,900,72.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/Z59 Ultra Watch.png,2025-09-04
OFF-POS-0135,ZKTECO Cash Drawer,ZKTECO,Office,POS Equipment,Boost your productivity with the ZKTECO Cash Drawer. Professional-grade equipment designed for efficient office operations.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,1750,140.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/ZKTECO Cash Drawer.png,2025-09-04
OFF-POS-0136,ZKTECO POS ZKBio510,ZKTECO,Office,POS Equipment,Boost your productivity with the ZKTECO POS ZKBio510. Professional-grade equipment designed for efficient office operations.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,3250,260.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/ZKTECO POS ZKBio510.png,2025-09-04
OFF-PRI-0137,ZKTECO Receipt Printer,ZKTECO,Office,Printers,Boost your productivity with the ZKTECO Receipt Printer. Professional-grade equipment designed for efficient office operations.,• Premium build quality • Reliable performance • Modern design • User-friendly operation • Comprehensive warranty,2600,208.0,New,In Stock,/home/hostname/Program/Shopdydy.com/product/ZKTECO Receipt Printer.png,2025-09-04
